speaker,n_talks,debut_year,cos_debut_vs_rest,bom_debut,bom_rest,nt_debut,nt_rest
William R. Bradford,9,1975,0.9949366763261822,0.3333333333333333,0.30434782608695654,0.0,0.06521739130434782
Franklin D. Richards,17,1971,0.9800688814308484,0.0,0.03333333333333333,0.42857142857142855,0.43333333333333335
Richard C. Edgley,14,1993,0.9793426026651779,0.6,0.4605263157894737,0.3,0.3026315789473684
Thomas S. Monson,234,1971,0.9693903345768171,0.0,0.11589174184594032,0.6666666666666666,0.4996530187369882
Janette Hales Beckham,8,1991,0.9569487529386907,0.42857142857142855,0.375,0.14285714285714285,0.25
Keith B. McMullin,11,1996,0.9558937700025679,0.2222222222222222,0.21100917431192662,0.2222222222222222,0.24311926605504589
Richard G. Scott,59,1977,0.9448465447831216,0.5,0.4222689075630252,0.0,0.13445378151260504
Jacob de Jager,8,1976,0.9437369765993736,0.0,0.15,0.16666666666666666,0.1
Linda K. Burton,8,2012,0.9367230523505414,0.3333333333333333,0.35714285714285715,0.5555555555555556,0.35714285714285715
Chieko N. Okazaki,8,1991,0.9327448043344277,0.25,0.16666666666666666,0.5,0.42857142857142855
N. Eldon Tanner,64,1971,0.9112852430517355,0.14285714285714285,0.13803680981595093,0.42857142857142855,0.31901840490797545
Bernard P. Brockbank,11,1971,0.909236336149446,0.0,0.08064516129032258,0.75,0.4946236559139785
Gerrit W. Gong,17,2010,0.9016180337291525,0.25,0.37067209775967414,0.25,0.25865580448065173
Dale G. Renlund,22,2009,0.8979670604899017,0.8,0.4658493870402802,0.0,0.16637478108581435
Gary E. Stevenson,23,2009,0.8858086325032423,0.6,0.3241758241758242,0.2,0.31868131868131866
David A. Bednar,42,2004,0.8841992443603683,0.6,0.44714587737843553,0.2,0.19661733615221988
Robert L. Backman,9,1973,0.8800579481101644,0.0,0.2553191489361702,0.6666666666666666,0.48936170212765956
Marvin J. Ashton,44,1971,0.8755033028148641,0.0,0.18275862068965518,0.5,0.4724137931034483
Aileen H. Clyde,8,1991,0.8589587993484336,0.42857142857142855,0.3114754098360656,0.5714285714285714,0.3114754098360656
Mary N. Cook,8,2007,0.8574929257125443,0.3333333333333333,0.35,0.3333333333333333,0.3
Paul H. Dunn,15,1971,0.855688839374751,0.25,0.3333333333333333,0.5,0.30303030303030304
Spencer W. Kimball,75,1971,0.8526928548356242,0.15789473684210525,0.10861423220973783,0.5789473684210527,0.3089887640449438
Julie B. Beck,15,2003,0.8504797275566068,0.5714285714285714,0.2624113475177305,0.14285714285714285,0.18439716312056736
Marion G. Romney,65,1971,0.84940488674179,0.2,0.19851380042462846,0.1,0.21656050955414013
Boyd K. Packer,90,1971,0.8463164936653527,0.75,0.36608344549125166,0.0,0.19784656796769853
Theodore M. Burton,14,1971,0.8433306871066654,0.0,0.19,0.2857142857142857,0.34
Margaret D. Nadauld,8,1998,0.822981355465999,0.6,0.3076923076923077,0.4,0.2692307692307692
Loren C. Dunn,18,1971,0.8091928604387327,0.5,0.27848101265822783,0.5,0.35443037974683544
James A. Cullimore,10,1971,0.8082903768654761,0.0,0.2,0.6666666666666666,0.29333333333333333
John H. Vandenberg,10,1971,0.8000086534665248,0.0,0.14772727272727273,0.5,0.36363636363636365
Joseph Anderson,13,1971,0.7994868200134766,0.14285714285714285,0.11428571428571428,0.5714285714285714,0.2714285714285714
Elaine L. Jack,12,1989,0.7939459645042157,0.6666666666666666,0.375,0.3333333333333333,0.1875
J. Thomas Fyans,14,1972,0.7938566201357354,0.0,0.2692307692307692,0.0,0.11538461538461539
Hartman Rector Jr.,16,1971,0.7838617295598694,0.07142857142857142,0.32038834951456313,0.5,0.24757281553398058
David B. Haight,60,1971,0.7761914682217753,0.0,0.1054945054945055,0.3333333333333333,0.5076923076923077
Ulisses Soares,21,2005,0.7740623847817792,0.14285714285714285,0.35564853556485354,0.7142857142857143,0.3138075313807531
LeGrand Richards,22,1971,0.7707488589477236,0.10526315789473684,0.05390835579514825,0.21052631578947367,0.5579514824797843
L. Whitney Clayton,8,2001,0.749933895562935,0.2727272727272727,0.5121951219512195,0.45454545454545453,0.14634146341463414
Gene R. Cook,9,1975,0.7417209993793158,1.0,0.4435483870967742,0.0,0.125
Bonnie D. Parkin,12,1995,0.7288689868556626,1.0,0.40476190476190477,0.0,0.3333333333333333
Robert L. Simpson,14,1971,0.7264365368834803,0.0,0.06796116504854369,0.16666666666666666,0.4077669902912621
Yoshihiko Kikuchi,8,1977,0.7202305106510154,1.0,0.38961038961038963,0.0,0.2987012987012987
D. Todd Christofferson,41,1993,0.7195730881377693,0.3333333333333333,0.34408602150537637,0.0,0.2885304659498208
Carlos E. Asay,11,1976,0.717001639346832,1.0,0.3689839572192513,0.0,0.29411764705882354
O. Leslie Stone,9,1972,0.705511681520941,0.0,0.1095890410958904,0.5,0.589041095890411
Quentin L. Cook,38,1996,0.6937551691650273,0.1111111111111111,0.3385714285714286,0.5555555555555556,0.18571428571428572
Elaine S. Dalton,16,2003,0.6819250637146942,0.8571428571428571,0.33163265306122447,0.0,0.12244897959183673
Earl C. Tingey,8,1991,0.6804138174397718,0.0,0.25,0.5,0.234375
Robert D. Hales,58,1975,0.6792811890096404,0.0,0.2883046237533998,1.0,0.3445149592021759
H. David Burton,14,1993,0.672567297555029,0.6666666666666666,0.18309859154929578,0.3333333333333333,0.5352112676056338
James M. Paramore,9,1977,0.6502560887623551,0.0,0.3,1.0,0.3333333333333333
Henry D. Taylor,11,1971,0.6485374764569113,0.0,0.025,1.0,0.35
G̩rald Causs̩,8,2008,0.6273807116711902,0.16666666666666666,0.61,0.5,0.21
Ronald A. Rasband,26,2000,0.6186199231848268,1.0,0.3194103194103194,0.0,0.3194103194103194
Adney Y. Komatsu,10,1975,0.6154574548966636,0.0,0.29545454545454547,1.0,0.3409090909090909
Russell M. Nelson,113,1984,0.6126688008517341,1.0,0.30266666666666664,0.0,0.21493333333333334
Dallin H. Oaks,100,1971,0.6114225386919339,0.16666666666666666,0.32253521126760565,0.0,0.3183098591549296
Rex D. Pinegar,15,1972,0.6063699187554585,1.0,0.34,0.0,0.36
Harold B. Lee,16,1971,0.5932683777638239,0.25,0.0915032679738562,0.625,0.2222222222222222
Eldred G. Smith,10,1971,0.5732465178681279,0.0,0.05555555555555555,0.125,0.5222222222222223
Neal A. Maxwell,53,1974,0.5664239127468381,0.0,0.36231884057971014,1.0,0.2927536231884058
Susan W. Tanner,9,2003,0.5650078218811765,0.0,0.4166666666666667,0.5,0.18055555555555555
A. Theodore Tuttle,17,1971,0.5496186996308812,0.0,0.23529411764705882,0.5555555555555556,0.058823529411764705
Glenn L. Pace,8,1985,0.5419311029903613,1.0,0.2894736842105263,0.0,0.18421052631578946
S. Dilworth Young,12,1971,0.5355832558224369,0.0,0.1717171717171717,0.5,0.29292929292929293
Victor L. Brown,28,1971,0.530476732467697,0.2222222222222222,0.12173913043478261,0.1111111111111111,0.28695652173913044
Gordon B. Hinckley,232,1971,0.5240178939905406,0.0,0.11678115799803729,0.2,0.3915603532875368
Dean L. Larsen,11,1976,0.48809353009197637,0.0,0.38571428571428573,1.0,0.2571428571428571
Vaughn J. Featherstone,18,1972,0.42355872480151047,1.0,0.21951219512195122,0.0,0.4146341463414634
Dieter F. Uchtdorf,82,1994,0.40788406691549217,0.0,0.2497721057429353,0.0,0.3910665451230629
Henry B. Eyring,121,1985,0.40709486515651006,0.0,0.3472222222222222,1.0,0.2152777777777778
Ezra Taft Benson,63,1971,0.35132784695087405,0.0,0.42057026476578413,0.6666666666666666,0.1334012219959267
Sterling W. Sill,11,1971,0.34412360080584264,0.0,0.08,0.0,0.42
Mary Ellen W. Smoot,8,1997,0.34132807439314455,0.0,0.37142857142857144,0.0,0.22857142857142856
Bruce R. McConkie,30,1971,0.3376657026312778,0.8,0.09491525423728814,0.0,0.3389830508474576
Delbert L. Stapley,12,1971,0.29483756617332996,0.25,0.15418502202643172,0.0,0.6123348017621145
ElRay L. Christiansen,8,1971,0.29311918124761893,0.0,0.2,0.5,0.2
Howard W. Hunter,51,1971,0.2600523810697655,0.0,0.13411764705882354,0.0,0.48470588235294115
Mark E. Petersen,27,1971,0.23379741372771856,1.0,0.13010204081632654,0.0,0.4744897959183674
